week,facility_id,finished_sku_id,realized_selling_price,list_price,emailer_for_promotion,homepage_featured,customer_orders,facility_city_id,facility_region_id,facility_type,facility_capacity_index,date,year,month,year_month,sku_performance_tier,finished_family,facility_scale,facility_volatility
1,FACILITY_1,SEMICONDUCTOR_2,2289.9529844390577,2061.058817438598,0,1,2132,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,low,power_management_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_5,2273.0977438646496,2061.058817438598,0,1,2418,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,low,power_management_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_11,2256.242503290242,2256.242503290242,0,0,474,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,low,power_management_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_12,3107.4321522978407,3073.721671149025,0,0,513,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,low,power_management_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_9,3123.7817356550163,3123.7817356550163,0,0,998,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_4,3220.867921363606,3254.5784025124217,0,0,2078,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_1,4708.680006866592,4742.390488015407,0,0,1688,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_7,7162.128824877405,7162.128824877405,0,0,1067,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,high,compute_control_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_3,3908.056079582216,5052.021257367281,1,0,3511,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_8,5576.2192392313655,5576.2192392313655,0,0,1404,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,high,compute_control_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_6,4414.387506437429,4414.387506437429,0,0,836,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,high,compute_control_modules,mega_hub,956.5054744508195
1,FACILITY_1,SEMICONDUCTOR_10,4382.19399694031,5428.061674582321,1,0,541,590,56,mid_capacity,0.6352459016393442,2023-01-01,2023,1,2023-01,high,compute_control_modules,mega_hub,956.5054744508195
1,FACILITY_4,SEMICONDUCTOR_2,2273.6034010818817,2239.8929199330655,0,0,877,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,low,power_management_modules,local_dc,722.692017537207
1,FACILITY_4,SEMICONDUCTOR_5,2239.8929199330655,2273.6034010818817,0,0,690,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,low,power_management_modules,local_dc,722.692017537207
1,FACILITY_4,SEMICONDUCTOR_11,2289.9529844390577,2273.0977438646496,0,0,500,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,low,power_management_modules,local_dc,722.692017537207
1,FACILITY_4,SEMICONDUCTOR_12,3041.5281616519055,3041.5281616519055,0,0,634,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,low,power_management_modules,local_dc,722.692017537207
1,FACILITY_4,SEMICONDUCTOR_9,3106.9264950806087,3106.9264950806087,0,0,485,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,local_dc,722.692017537207
1,FACILITY_4,SEMICONDUCTOR_4,3221.8792357980706,3205.0239952236625,0,0,1283,685,56,mid_capacity,0.5811475409836065,2023-01-01,2023,1,2023-01,mid,mixed_signal_interface_modules,local_dc,722.692017537207
