country_code,supplier_id,lead_time_mean,lead_time_stddev,lead_time_variance,disruption_probability,compliance_eligibility,logistics_reliability
ARE,SUP_ARE_1,127.02200891716008,9.676975548019412,93.6438557569656,0.2452733512470298,0.6616564789545523,0.8251856047914752
AUS,SUP_AUS_2,101.6614919532848,7.052134781571034,49.73260497744394,0.21286659699162594,0.8101906944571804,0.7599533817753766
AUS,SUP_AUS_3,97.13422687400936,6.717316136501065,45.1223360776976,0.19932789862845568,0.8605937965370983,0.793080875908887
AUS,SUP_AUS_4,110.43491858048179,7.071551324103543,50.00683812943056,0.19940848208248385,0.8562110063784579,0.7746355985066935
AUS,SUP_AUS_5,102.3866661758985,7.089366402213472,50.259115984833194,0.21379299428751164,0.7613704910823939,0.8038941087871241
BEL,SUP_BEL_6,97.52128463784464,11.05201038372372,122.14693352193696,0.25628375568328515,0.8237328419833031,0.7941985357790066
BEL,SUP_BEL_7,104.6518245442198,11.391627237690706,129.76917112249677,0.26636377175317655,0.815507252397525,0.8388553530051371
BRA,SUP_BRA_8,103.81219064948854,10.36393707952986,107.41119178845393,0.4629363747189176,0.4724648691745187,0.6813430700382757
CAN,SUP_CAN_9,72.44921166565378,8.063617487918815,65.02192699147014,0.19403483900623875,0.7908179671649006,0.8713302065902306
CAN,SUP_CAN_10,71.55136083577017,7.364182505159089,54.2311839692912,0.21708589227468175,0.8857665712784957,0.8031720502907499
CAN,SUP_CAN_11,79.42182690028622,8.019880354026457,64.31848089289953,0.2271776451560334,0.8052107117524245,0.8100509564956451
CHN,SUP_CHN_12,93.98737125668538,5.541403649259791,30.707154404029726,0.4332720178758349,0.462946381634586,0.7243498510241219
CHN,SUP_CHN_13,93.3161154731307,4.844917211972014,23.47322279086267,0.43363972389757,0.5385547108958897,0.7218010239106273
CHN,SUP_CHN_14,92.65806583408498,5.4775613890524495,30.003678770838203,0.4493968913758042,0.49595086649462367,0.718204242380271
CHN,SUP_CHN_15,95.28901200249393,5.55103713350674,30.81401325757073,0.45978739575853883,0.46795135748926625,0.7733621092665324
CHN,SUP_CHN_16,97.41185785439606,5.155902600997984,26.58333163097778,0.4398937388270139,0.4475216795017337,0.7583301551033146
CHN,SUP_CHN_17,94.11055584157216,6.03150876760912,36.37909801374568,0.397835392066134,0.5002907797523107,0.7609774895769742
CHN,SUP_CHN_18,97.15391593101913,5.332107673473075,28.43137224151045,0.44021971535517923,0.44903181070861486,0.7488630713009177
DEU,SUP_DEU_19,89.06542830752666,5.157889541379802,26.603824521075143,0.24684940217661122,0.8265949797357698,0.7910508825150594
DEU,SUP_DEU_20,84.56399362963779,4.29523653021557,18.44905685049829,0.21159665922029067,0.8234293407596182,0.8123634606156499
DEU,SUP_DEU_21,85.7070437267128,4.289967015169463,18.403816991241992,0.22725557261405288,0.7903026746440828,0.7912045190074137
DEU,SUP_DEU_22,88.94916469158022,4.520134248193434,20.431613621691223,0.24115728496827785,0.8658798033644788,0.8078783679898673
DEU,SUP_DEU_23,87.35466977079587,4.723451313282807,22.310992308953068,0.24208911077407783,0.7256854631383345,0.8516821640500227
DEU,SUP_DEU_24,87.64524177839323,5.888684911068633,34.676609981847385,0.2391726777399216,0.7955336809878675,0.8157918801625714
DEU,SUP_DEU_25,86.95825193173287,6.650715372742962,44.23201496923956,0.2265598760574721,0.8723451247408498,0.7999964337540386
FIN,SUP_FIN_26,111.56166507166223,10.250021189525494,105.06293438572163,0.17865375493014696,0.9186218930755331,0.8000424056260086
FIN,SUP_FIN_27,107.21471036852243,8.534341598729345,72.83498652380214,0.1961268397253769,0.8465853148300473,0.8259417685579685
FRA,SUP_FRA_28,92.82412540563566,7.899693749178793,62.405161330814494,0.29235307972888247,0.684974391519815,0.8043463403087466
FRA,SUP_FRA_29,97.16110789848243,9.049812606770727,81.8991082176664,0.3115467571883801,0.6679895054781848,0.8173463736037835
FRA,SUP_FRA_30,97.98766697385662,8.236242505032184,67.83569060169881,0.3175768552674582,0.7102484983513079,0.7741528538769452
GBR,SUP_GBR_31,91.90796726797198,6.427120159869466,41.307873549400504,0.30405188057542737,0.7696249616339609,0.7674555368283088
GBR,SUP_GBR_32,97.18083671471572,8.14691929441452,66.37229398970359,0.2981007914858736,0.7724529628992356,0.7270597703606441
HKG,SUP_HKG_33,93.20850594803085,6.119993175266972,37.45431646531431,0.22520032850866595,0.776114181472379,0.7799466655394334
HKG,SUP_HKG_34,95.6415288186903,5.844568903767765,34.15898567088914,0.24577268397001228,0.7910457983634751,0.8437735259206749
HKG,SUP_HKG_35,96.83450420530411,6.808602555281551,46.35706875578647,0.2367259376141938,0.8215455918211216,0.8320898998131511
HKG,SUP_HKG_36,100.44774970541542,6.419724705712452,41.21286529713482,0.22669647473464621,0.7565836820766756,0.7940500954888919
HKG,SUP_HKG_37,92.91960911851639,6.4712687709593855,41.877319505994194,0.2287540574789543,0.7261404627854189,0.8449486767043304
HKG,SUP_HKG_38,91.07318673895026,5.399348476905853,29.15296397506556,0.23575934566497808,0.8115353444023811,0.8454697673233775
HKG,SUP_HKG_39,97.40833432801989,6.500863732461794,42.261229268037084,0.2465671608954366,0.8472460247714803,0.7872222299474001
HKG,SUP_HKG_40,95.15537428029916,4.848206976453856,23.505110886535835,0.21850951397504703,0.7819987228769701,0.8072082977632248
IDN,SUP_IDN_41,113.39266880340355,9.433200402364895,88.98526983117722,0.5147555943267739,0.49373692760372123,0.5909879300519781
IDN,SUP_IDN_42,110.97802559535924,8.277727514518205,68.52077280461172,0.49145039902781307,0.5000425086126918,0.5953405000114391
IDN,SUP_IDN_43,104.3740824220058,8.175149178825444,66.83306409605035,0.5205175620707815,0.4995800642669021,0.5803797277085576
IND,SUP_IND_44,111.23549036714626,9.161481566478567,83.93274449292659,0.4655469145725973,0.4960785624202913,0.6684388149868077
IND,SUP_IND_45,115.30495674710025,8.524449583701703,72.66624070507214,0.47201348409195054,0.4618363490400472,0.6675344227959477
JPN,SUP_JPN_46,92.08128042761301,5.878889140870109,34.56133753064049,0.21285016613233196,0.7137032800072597,0.8467702576978932
JPN,SUP_JPN_47,84.07351613107824,4.577255566414314,20.95126852027082,0.23920808476397304,0.8007237991730654,0.8345790813003012
JPN,SUP_JPN_48,90.96592501805763,5.343311599156976,28.550978845685485,0.2139145267914013,0.738737824402041,0.8240107219262741
JPN,SUP_JPN_49,85.29865563439974,4.925899760925873,24.264488454689573,0.23570666577592442,0.8505257515379294,0.8343428529610498
JPN,SUP_JPN_50,89.50952547089784,6.629561808693581,43.95108977528851,0.23850443769475094,0.7949044702179137,0.7938563187116037
JPN,SUP_JPN_51,89.64754839276708,4.464210002593355,19.929170947254566,0.20862272004296964,0.8564845564256691,0.8382462435877912
